# u v x y z
-4.599999904632568359e+00 5.000000000000000000e+00 -3.664158225059509277e+00 4.063998937606811523e+00 2.076469063758850098e-01
-4.800000190734863281e+00 5.000000000000000000e+00 -3.832077324390411377e+00 4.031997799873352051e+00 1.038260459899902344e-01
-5.000000000000000000e+00 4.800000190734863281e+00 -4.031889617443084717e+00 3.831810116767883301e+00 1.034260168671607971e-01
-5.000000000000000000e+00 4.599999904632568359e+00 -4.063782632350921631e+00 3.663623809814453125e+00 2.068468481302261353e-01
-5.000000000000000000e+00 4.400000095367431641e+00 -4.095674395561218262e+00 3.495436012744903564e+00 3.102698624134063721e-01
-5.000000000000000000e+00 4.199999809265136719e+00 -4.127567172050476074e+00 3.327249050140380859e+00 4.136918187141418457e-01
-5.000000000000000000e+00 4.000000000000000000e+00 -4.159459292888641357e+00 3.159061729907989502e+00 5.171148180961608887e-01
-5.000000000000000000e+00 3.799999952316284180e+00 -4.191351592540740967e+00 2.990874946117401123e+00 6.205376386642456055e-01
-5.000000000000000000e+00 3.599999904632568359e+00 -4.223243594169616699e+00 2.822687804698944092e+00 7.239614725112915039e-01
-5.000000000000000000e+00 3.400000095367431641e+00 -4.255134999752044678e+00 2.654501438140869141e+00 8.273856639862060547e-01
-5.000000000000000000e+00 3.200000047683715820e+00 -4.287025988101959229e+00 2.486314594745635986e+00 9.308112263679504395e-01
3.142857074737548828e+00 4.857142925262451172e+00 2.459595680236816406e+00 4.174791455268859863e+00 1.032481670379638672e+00
3.285714387893676758e+00 4.714285850524902344e+00 2.602584958076477051e+00 4.032068729400634766e+00 1.032779574394226074e+00
3.428571462631225586e+00 4.571428775787353516e+00 2.745573997497558594e+00 3.889345228672027588e+00 1.033079028129577637e+00
3.571428537368774414e+00 4.428571224212646484e+00 2.888562977313995361e+00 3.746621489524841309e+00 1.033379316329956055e+00
3.714285612106323242e+00 4.285714149475097656e+00 3.031551837921142578e+00 3.603897690773010254e+00 1.033680319786071777e+00
3.857142925262451172e+00 4.142857074737548828e+00 3.174541234970092773e+00 3.461174190044403076e+00 1.033981442451477051e+00
4.000000000000000000e+00 4.000000000000000000e+00 3.317530214786529541e+00 3.318450450897216797e+00 1.034283757209777832e+00
4.142857074737548828e+00 3.857142925262451172e+00 3.460519552230834961e+00 3.175727128982543945e+00 1.034586071968078613e+00
4.285714149475097656e+00 3.714285612106323242e+00 3.603508710861206055e+00 3.033003389835357666e+00 1.034889459609985352e+00
4.428571224212646484e+00 3.571428537368774414e+00 3.746498048305511475e+00 2.890280187129974365e+00 1.035192966461181641e+00
4.571428775787353516e+00 3.428571462631225586e+00 3.889487326145172119e+00 2.747556865215301514e+00 1.035497188568115234e+00
4.714285850524902344e+00 3.285714387893676758e+00 4.032476484775543213e+00 2.604833245277404785e+00 1.035802483558654785e+00
4.857142925262451172e+00 3.142857074737548828e+00 4.175464570522308350e+00 2.462109923362731934e+00 1.036108970642089844e+00
5.000000000000000000e+00 3.200000047683715820e+00 4.286610305309295654e+00 2.487443268299102783e+00 9.327729940414428711e-01
5.000000000000000000e+00 3.400000095367431641e+00 4.254765629768371582e+00 2.655504703521728516e+00 8.291293978691101074e-01
5.000000000000000000e+00 3.599999904632568359e+00 4.222920417785644531e+00 2.823565661907196045e+00 7.254871726036071777e-01
5.000000000000000000e+00 3.799999952316284180e+00 4.191074609756469727e+00 2.991627454757690430e+00 6.218453049659729004e-01
5.000000000000000000e+00 4.000000000000000000e+00 4.159228503704071045e+00 3.159688830375671387e+00 5.182045102119445801e-01
5.000000000000000000e+00 4.199999809265136719e+00 4.127382516860961914e+00 3.327750682830810547e+00 4.145636260509490967e-01
5.000000000000000000e+00 4.400000095367431641e+00 4.095535933971405029e+00 3.495812177658081055e+00 3.109237551689147949e-01
